orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
noon,夏至,summer,2026-06-21T00:18:00+00:00,1080.0,False,271.801391639802,0.0,0.0,271.801391639802,0.0,1.0728043354131063e-15,7.116745460072251e-15,8.189549795485358e-15,0.0,0.0,0.0,0.0,14.673166668146283,1.9662186853791406e-17,1.3043457637867297e-16,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,1.2416451166848776,0.0,0.0,1.2416451166848776
noon,夏至,summer,2026-06-21T00:18:30+00:00,1110.0,False,271.617590015813,0.0,0.0,271.617590015813,0.0,1.099238388423058e-15,7.292103091039916e-15,8.391341479462973e-15,0.0,5.2398972926979043e-17,3.4760313729244004e-16,4.000021102194191e-16,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,10.07089737463933,0.0,0.0,10.07089737463933
noon,夏至,summer,2026-06-21T00:19:00+00:00,1140.0,False,271.1470528736826,0.0,0.0,271.1470528736826,0.0,8.90515086802435e-16,5.907479110518936e-15,6.797994197321371e-15,0.0,3.5152172641425774e-17,2.331916984295276e-16,2.683438710709534e-16,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,18.889518200451608,0.0,0.0,18.889518200451608
noon,夏至,summer,2026-06-21T00:19:30+00:00,1170.0,False,270.3902769401184,0.0,0.0,270.3902769401184,0.0,6.552749162151324e-16,4.346948116384632e-15,5.002223032599764e-15,0.0,1.1533051124698958e-16,7.650769718494535e-16,8.80407483096443e-16,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,27.688198138825992,0.0,0.0,27.688198138825992
noon,夏至,summer,2026-06-21T00:20:00+00:00,1200.0,False,269.34806111234735,7.435285096259898e-17,4.932402834928369e-16,269.34806111234735,0.0,0.0,0.0,0.0,0.0,3.6099999158876044e-16,2.394793688297435e-15,2.7557936798861957e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,36.45764878524151,0.0,0.0,36.45764878524151
noon,夏至,summer,2026-06-21T00:20:30+00:00,1230.0,False,268.0215056147524,0.0,0.0,268.0215056147524,0.0,4.08351188248146e-16,2.7089110000296883e-15,3.1172621882778343e-15,0.0,4.255924021757733e-17,2.8232853802360535e-16,3.248877782411827e-16,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,45.188612591338476,0.0,0.0,45.188612591338476
noon,夏至,summer,2026-06-21T00:21:00+00:00,1260.0,False,266.4120108374111,0.0,0.0,266.4120108374111,0.0,3.641111783644092e-16,2.4154326097019697e-15,2.7795437880663788e-15,0.0,1.5049434751944257e-16,9.983460442142096e-16,1.1488403917336523e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,53.87187263773149,0.0,0.0,53.87187263773149
noon,夏至,summer,2026-06-21T00:21:30+00:00,1290.0,False,264.5212758577614,0.0,0.0,264.5212758577614,0.0,3.6501598266975142e-16,2.421434880311567e-15,2.7864508629813183e-15,0.0,2.5583833204672583e-17,1.697174617965055e-16,1.9530129500117807e-16,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,62.49826236393233,0.0,0.0,62.49826236393233
noon,夏至,summer,2026-06-21T00:22:00+00:00,1320.0,False,262.3512966469553,0.0,0.0,262.3512966469553,0.0,7.645292318809823e-17,5.07171695758141e-16,5.836246189462392e-16,0.0,1.5857902911538418e-16,1.0519780245714584e-15,1.2105570536868426e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,71.05867524511058,0.0,0.0,71.05867524511058
noon,夏至,summer,2026-06-21T00:22:30+00:00,1350.0,False,259.90436396279426,0.0,0.0,259.90436396279426,0.0,2.883152954313091e-16,1.912619572925238e-15,2.200934868356547e-15,0.0,2.2168444856088973e-16,1.470605347858532e-15,1.6922897964194219e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,79.54407440547776,0.0,0.0,79.54407440547776
noon,夏至,summer,2026-06-21T00:23:00+00:00,1380.0,False,257.18306093147066,0.0,0.0,257.18306093147066,0.0,2.729318502461119e-16,1.8105692175453215e-15,2.0835010677914335e-15,0.0,2.2084898908583484e-16,1.4650630954366292e-15,1.685912084522464e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,87.94550215814476,0.0,0.0,87.94550215814476
noon,夏至,summer,2026-06-21T00:23:30+00:00,1410.0,False,254.19026032066745,0.0,0.0,254.19026032066745,0.0,5.97300166683108e-17,3.9623565166760196e-16,4.559656683359128e-16,0.0,3.734843762659707e-16,2.4776123207735235e-15,2.851096697039494e-15,14.673166668146283,0.0,0.0,14.673166668146283,0.0,8.493194087802147,56.34196140958285,64.835155497385,96.25408946138408,0.0,0.0,96.25408946138408
